ID,Name,St.No.,Street Name,City,State,Zip,Municipality,Category
674,Bed Bath &amp; Beyond,976,Freeport Rd,Pittsburgh,PA,15215,Pittsburgh-112,Chain Packaged Food Only
675,Bed Bath &amp; Beyond,3739,Wm Penn Hwy,Monroeville,PA,15146,Monroeville,Chain Packaged Food Only
676,Bed Bath &amp; Beyond #125,1700,Oxford Dr,Bethel Park,PA,15102,Bethel Park,Chain Packaged Food Only
677,Bed Bath &amp; Beyond #337,490,E  Waterfront Dr,Homestead,PA,15120,Homestead,Chain Packaged Food Only
678,Bed Bath &amp; Beyond #461,160,Quinn Drive,Pittsburgh,PA,15275,North Fayette,Chain Packaged Food Only
679,Bedrock Cafe,604,Hampshire Ave,Pittsburgh,PA,15216,Pittsburgh-119,Restaurant with Liquor
680,Bee&#39;z Bistro &amp; Pub,3249,Washington Pike Suite #1004,Bridgeville,PA,15017,South Fayette,Restaurant with Liquor
681,Beehive Coffeehouse / Rowdy Buck,1323,E Carson St,Pittsburgh,PA,15203,Pittsburgh-117,Restaurant with Liquor
682,Beemer&#39;s,600,5th  Avenue,Mc Keesport,PA,15132,McKeesport,Restaurant with Liquor
683,Beer Belly&#39;s,235,5th St,West Elizabeth,PA,15088,West Elizabeth,Restaurant with Liquor
684,Beer Lime &amp; Sunshine,411,Wood Street,Pittsburgh,PA,15222,Pittsburgh-101,Restaurant with Liquor
685,Beerhead Bar Beer Market ,110,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant with Liquor
686,Bel Aire Foods,341,Rochester Rd,Pittsburgh,PA,15237,Ross,Refrigerated Warehouse
687,Bel Aire Foods,530,Camp Horne Rd,Pittsburgh,PA,15237,Ohio,Food Processor
688,Bell&#39;s Market,603,Braddock Avenue,Braddock,PA,15104,Braddock,Retail/Convenience Store
689,Bell&#39;s Market Annex #2,&nbsp;,7th &amp; Railroad St,Braddock,PA,15104,Braddock,Refrigerated Warehouse
690,Bella Christie &amp; Lil&#39; Z&#39;s Sweet Boutique,213,Commercial Avenue,Pittsburgh,PA,15215,Aspinwall,Bakery
691,Bella Christie &amp; Lil&#39; Z&#39;s Sweet Truck,213,Commercial Avenue,Pittsburgh,PA,15215,Aspinwall,Mobile
692,Bella Cucina,4925,Cheyenne Court,Gibsonia,PA,15044,Hampton,Caterer
