"1802","900 Cedar Blvd, Pittsburgh, PA, 15228","Match","Exact","900 CEDAR BLVD, PITTSBURGH, PA, 15228","-80.05723,40.374287","51701574","R"
"1801","900 Cedar Boulevard, Pittsburgh, PA, 15234","Match","Non_Exact","900 CEDAR BLVD, PITTSBURGH, PA, 15228","-80.05723,40.374287","51701574","R"
"1800","4377 Murray Ave, Pittsburgh, PA, 15217","Match","Exact","4377 MURRAY AVE, PITTSBURGH, PA, 15217","-79.92846,40.42026","51702009","L"
"1409","7400 Church St, Pittsburgh, PA, 15218","Match","Exact","7400 CHURCH ST, PITTSBURGH, PA, 15218","-79.890175,40.421993","51653683","R"
"1405","2001 Lincoln  Way, Mc Keesport, PA, 15131","Match","Non_Exact","2001 LINCOLN WAY, MCKEESPORT, PA, 15131","-79.80868,40.33743","606391249","L"
"1406","1421 Freeport Road, Natrona Heights, PA, 15065","Match","Exact","1421 FREEPORT RD, NATRONA HTS, PA, 15065","-79.732445,40.61815","51664503","R"
"1407","50 Market Place Drive, Oakdale, PA, 15071","No_Match"
"1408","5513 Wm Flynn Hwy Suite # 600, Gibsonia, PA, 15044","No_Match"
"1401","5239 Brownsville Road, Pittsburgh, PA, 15236","Match","Exact","5239 BROWNSVILLE RD, PITTSBURGH, PA, 15236","-79.98525,40.342815","51658393","L"
"1402","400 Swiss Way, Elizabeth, PA, 15037","Match","Exact","400 SWISS WAY, ELIZABETH, PA, 15037","-79.835304,40.280563","51815760","R"
"1403","333 Allegheny Avenue, Oakmont, PA, 15139","Match","Exact","333 ALLEGHENY AVE, OAKMONT, PA, 15139","-79.8434,40.515614","51665770","L"
"1404","4506 Liberty Ave, Pittsburgh, PA, 15224","Match","Exact","4506 LIBERTY AVE, PITTSBURGH, PA, 15224","-79.95153,40.462982","51643014","R"
"1400","637 Brown Avenue, Turtle Creek, PA, 15145","Match","Exact","637 BROWN AVE, TURTLE CREEK, PA, 15145","-79.83434,40.424114","636476005","L"
"1204","1320 Centre Ave, Pittsburgh, PA, 15219","Match","Exact","1320 CENTRE AVE, PITTSBURGH, PA, 15219","-79.98781,40.44051","51813136","R"
"1203","1701 E Carson St, Pittsburgh, PA, 15203","Match","Exact","1701 E CARSON ST, PITTSBURGH, PA, 15203","-79.981926,40.428837","51635997","L"
"1206","109 Eisele Road, Cheswick, PA, 15024","Match","Exact","109 EISELE RD, CHESWICK, PA, 15024","-79.86628,40.583836","636374014","R"
